,Star ID,RA,DE,Magnitude
17280,17280,-1.85115393,1.13814472,4.8
17364,17364,-1.79491507,1.14800966,3.2
17390,17390,-1.7797691,1.09835601,5.5
17471,17471,-1.72334377,1.04876689,5.7
17525,17525,-1.69227538,1.18973859,5.2
17545,17545,-1.6821892,1.08057896,5.3
17575,17575,-1.67010933,1.20045918,4.9
17827,17827,-1.51142444,1.12364486,5.0
17887,17887,-1.45804616,1.14375702,5.0
17946,17946,-1.41343722,1.14220993,6.0
17957,17957,-1.40888903,1.09049335,5.6
17974,17974,-1.3940786,1.09431524,6.0
18078,18078,-1.32554774,1.13779522,5.8
18221,18221,-1.25425003,1.17938215,3.2
18298,18298,-1.21991998,1.14525189,4.6
18395,18395,-1.16736455,1.21433275,4.8
18507,18507,-1.1153261,1.20802828,5.9
18626,18626,-1.05655076,1.10649196,6.0
18657,18657,-1.04305341,1.12889137,5.4
18675,18675,-1.03585822,1.18212707,4.7
18699,18699,-1.02645526,1.07948498,5.6
18750,18750,-1.00022892,1.08082699,5.7
18806,18806,-0.9652587,1.08381878,5.6
18816,18816,-0.96042887,1.19939783,6.0
18825,18825,-0.95781909,1.11386244,5.9
18896,18896,-0.92177542,1.09651435,4.3
18978,18978,-0.87599456,1.05285155,6.0
19003,19003,-0.86147633,1.16021509,5.6
19018,19018,-0.85401228,1.07589299,3.6
19228,19228,-0.74664676,1.19182644,5.2
19301,19301,-0.7095359,1.08861877,2.6
19312,19312,-0.70539939,1.12851986,5.2
19431,19431,-0.66843855,1.16222638,5.4
19465,19465,-0.65618525,1.05135905,5.5
19540,19540,-0.62579725,1.07958955,4.9
19620,19620,-0.59554036,1.08611379,6.0
19623,19623,-0.59339237,1.06272371,4.5
19641,19641,-0.58492738,1.05522931,5.6
19741,19741,-0.54888378,1.13591273,5.9
19752,19752,-0.54436433,1.10631345,4.9
19826,19826,-0.51338569,1.1237093,4.6
19827,19827,-0.51321014,1.09739545,5.5
19846,19846,-0.50838954,1.09155165,5.4
19848,19848,-0.50787394,1.08273658,5.2
19921,19921,-0.48211353,1.2197297,5.5
19931,19931,-0.47833177,1.05612554,5.5
19990,19990,-0.45126927,1.09176226,6.0
20041,20041,-0.43057592,1.08500376,6.0
20074,20074,-0.41243824,1.13231711,5.7
20149,20149,-0.38573776,1.21569886,6.0
